Ημερομηνία,Θέση στη Γραμμή,undefined,undefined
"Apr 15, 2017, 3:00:00 AM",36,point { size: 7; fill-color: #005FC0; },"Ημ/νία: 2017-04-15
Σημείο: 36 (Water)
AreaBGR: 56335.464"
"Apr 15, 2017, 3:00:00 AM",37,point { size: 7; fill-color: #0067C7; },"Ημ/νία: 2017-04-15
Σημείο: 37 (Water)
AreaBGR: 57272.964"
"Apr 15, 2017, 3:00:00 AM",38,point { size: 7; fill-color: #007DDD; },"Ημ/νία: 2017-04-15
Σημείο: 38 (Water)
AreaBGR: 61647.964"
"Apr 15, 2017, 3:00:00 AM",39,point { size: 7; fill-color: #005BBC; },"Ημ/νία: 2017-04-15
Σημείο: 39 (Water)
AreaBGR: 55585.464"
"Apr 15, 2017, 3:00:00 AM",40,point { size: 7; fill-color: #0067C7; },"Ημ/νία: 2017-04-15
Σημείο: 40 (Water)
AreaBGR: 57397.964"
"Apr 15, 2017, 3:00:00 AM",41,point { size: 7; fill-color: #006ACB; },"Ημ/νία: 2017-04-15
Σημείο: 41 (Water)
AreaBGR: 58522.964"
"Apr 15, 2017, 3:00:00 AM",42,point { size: 7; fill-color: #005FC0; },"Ημ/νία: 2017-04-15
Σημείο: 42 (Water)
AreaBGR: 55960.464"
"Apr 15, 2017, 3:00:00 AM",43,point { size: 7; fill-color: #006ACB; },"Ημ/νία: 2017-04-15
Σημείο: 43 (Water)
AreaBGR: 58460.464"
"Apr 15, 2017, 3:00:00 AM",44,point { size: 7; fill-color: #0067C7; },"Ημ/νία: 2017-04-15
Σημείο: 44 (Water)
AreaBGR: 57772.964"
"Apr 15, 2017, 3:00:00 AM",45,point { size: 7; fill-color: #0085E4; },"Ημ/νία: 2017-04-15
Σημείο: 45 (Water)
AreaBGR: 62835.464"
"Apr 15, 2017, 3:00:00 AM",46,point { size: 7; fill-color: #006ACB; },"Ημ/νία: 2017-04-15
Σημείο: 46 (Water)
AreaBGR: 57960.464"
"Apr 15, 2017, 3:00:00 AM",47,point { size: 7; fill-color: #0063C3; },"Ημ/νία: 2017-04-15
Σημείο: 47 (Water)
AreaBGR: 56710.464"
"Apr 15, 2017, 3:00:00 AM",48,point { size: 7; fill-color: #0067C7; },"Ημ/νία: 2017-04-15
Σημείο: 48 (Water)
AreaBGR: 57522.964"
